Open,High,Low,Close,Volume,Symbol,MA50,MA200,ATR,RSI,Price_Momentum,Volume_Change,MACD,Bollinger_High,Bollinger_Low,Stoch_%K,Stoch_%D,Keltner_High,Keltner_Low,Keltner_Middle,Rolling_Mean,Rolling_Std,Z-Score,Williams_%R,Symbol_Encoded,Date,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Close_Diff,Label,Predicted_Label,Entry_Price,Stop_Loss,Take_Profit
59.48,60.01,59.48,59.87,102232.0,BYD,58.300999999999995,58.1039,0.3644263308832197,71.94628135100105,1.3200203080047284,2.7361400431239264,0.0198323496945465,59.55553897835156,58.33046102164845,90.96774193548382,70.90229079008884,59.267,58.617,58.94199999999999,58.943000000000005,0.3142258657985233,2.950107234629661,-9.03225806451618,1.0,2024-08-23 10:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-0.8660254037844384,-0.5000000000000004,0.3900000000000005,0,-1,59.87,60.598852661766436,58.77672100735034
60.36,61.67,60.17,61.61,128437.0,BYD,59.8428,58.3046,0.5091131528026362,69.4053449767743,3.494036620191497,-0.0855061731911197,0.1045644881268817,60.99463842684348,58.66836157315653,97.82608695652166,51.05575670102237,60.23916666666666,59.40716666666666,59.823166666666665,59.831500000000005,0.596677423209894,2.980672522235467,-2.1739130434783394,1.0,2024-09-04 09:30:00-04:00,0.72479278722912,0.6889669190756866,-1.0,-1.8369701987210294e-16,2.240000000000002,0,-1,61.61,62.628226305605274,60.08266054159209
61.05,61.65,60.82,61.43,108371.0,BYD,59.988,58.38309999999999,0.5587793517892424,69.43085277347893,4.757844474761254,1.0101461641193057,0.3282030943793178,61.04349775387821,57.370502246121774,94.47236180904524,97.05325179950135,59.699333333333335,58.65733333333334,59.17833333333333,59.206999999999994,0.942103469566033,2.3596134308092513,-5.527638190954749,1.0,2024-09-13 10:00:00-04:00,0.485301962531081,-0.8743466161445821,-1.0,-1.8369701987210294e-16,0.4099999999999966,-1,-1,61.43,62.54755870357848,59.75366194463227
64.04,64.5,64.03,64.5,54020.0,BYD,62.58,60.03205,0.4422514727943001,69.7637626806598,0.986378581493663,-0.4636882601141723,-0.0666116700207154,64.63256848958163,63.31843151041837,90.90909090909138,65.45454545454614,64.45016666666666,63.52716666666667,63.988666666666674,63.9755,0.3370690230740225,1.5560611153663315,-9.09090909090862,1.0,2024-09-23 12:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-1.0,-1.8369701987210294e-16,0.4599999999999937,0,-1,64.5,65.3845029455886,63.1732455816171
64.86,65.37,64.53,64.92,30737.0,BYD,62.9632,60.193000000000005,0.4628450206809141,71.30479241832992,1.4375000000000029,-0.8508983836855075,-0.0271809150276468,64.64582942917319,63.61417057082681,75.93582887700525,69.55436720142605,64.53,63.759,64.14450000000001,64.13,0.2646149138500669,2.9854704275951236,-24.064171122994747,1.0,2024-09-24 09:30:00-04:00,-0.9884683243281114,0.1514277775045766,-1.0,-1.8369701987210294e-16,0.6700000000000017,0,-1,64.92,65.84569004136183,63.53146493795726
65.52,65.73,65.18,65.48,15920.0,BYD,64.1044,60.97055,0.4194065886956154,70.00663319914963,2.025553131816761,-0.8492252907527371,0.0666544597610923,65.19481007017413,63.71418992982586,86.18784530386742,82.11911227643077,64.81883333333333,64.11583333333334,64.46733333333334,64.4545,0.3797710529146524,2.700311127268758,-13.81215469613258,1.0,2024-09-27 09:30:00-04:00,-0.72479278722912,0.6889669190756865,-1.0,-1.8369701987210294e-16,0.6200000000000045,0,-1,65.48,66.31881317739123,64.22178023391315
65.43,65.86,65.42,65.77,29936.0,BYD,64.1656,61.0074,0.4208775466459284,72.94854178533089,2.7174761830391923,0.8804020100502512,0.1023912805550333,65.4593252380608,63.5926747619392,95.36082474226788,87.06989566509606,64.86966666666666,64.18266666666668,64.52616666666667,64.526,0.4787857448525503,2.598239428333668,-4.63917525773214,1.0,2024-09-27 10:00:00-04:00,-0.72479278722912,0.6889669190756865,-1.0,-1.8369701987210294e-16,0.289999999999992,0,-1,65.77,66.61175509329185,64.5073673600622
50.8,50.93,50.73,50.91,82374.0,REXR,49.81,49.36755,0.3006234124109262,68.77768842884026,0.8118811881188052,3.0266901305176708,0.0409744104755472,50.85399001499661,49.52700998500339,98.19819819819791,85.80256826188106,50.45550000000001,49.8965,50.176,50.1905,0.3403631961055877,2.1139183326295736,-1.8018018018020845,27.0,2024-08-19 10:00:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.1499999999999985,0,-1,50.91,51.511246824821846,50.00812976276722
51.09,51.27,50.94,51.25,274591.0,REXR,50.3824,49.68215,0.2238340530534183,68.18971227407728,0.7470021623746856,2.5097781072651975,-0.0119689425109301,51.14914879967623,50.71385120032377,96.22641509433905,68.10445720535922,51.11116666666667,50.72816666666667,50.919666666666664,50.9315,0.1116514784125658,2.852626803767917,-3.773584905660959,27.0,2024-08-21 15:00:00-04:00,-0.8978045395707417,-0.4403941515576342,-0.8660254037844384,-0.5000000000000004,0.1599999999999966,0,-1,51.25,51.69766810610684,50.578497840839745
51.43,52.01,51.43,52.0,77097.0,REXR,50.6418,49.745149999999995,0.2545499905268019,76.80513185693741,1.781170483460553,3.683046832290591,0.047650415873177,51.57825285609373,50.54974714390627,99.212598425197,79.45422023056594,51.275666666666666,50.834666666666664,51.055166666666665,51.064,0.2638061489250639,3.548059830348677,-0.7874015748029954,27.0,2024-08-23 10:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-0.8660254037844384,-0.5000000000000004,0.5900000000000034,0,-1,52.0,52.5090999810536,51.236350028419594
